n;random;almost_sort;sorted_rev
500;88;62;69
600;108;77;80
700;125;89;93
800;144;114;106
900;164;111;122
1000;194;138;144
1100;222;161;167
1200;268;177;195
1300;262;189;195
1400;310;199;242
1500;327;216;229
1600;324;225;240
1700;345;237;257
1800;375;251;283
1900;389;264;290
2000;438;315;328
2100;484;354;358
2200;513;387;411
2300;545;379;392
2400;541;385;405
2500;569;397;419
2600;607;429;504
2700;641;428;479
2800;668;443;473
2900;656;460;512
3000;678;472;521
3100;721;486;522
3200;761;550;539
3300;747;522;557
3400;769;532;579
3500;798;550;595
3600;818;600;629
3700;841;569;621
3800;862;583;644
3900;910;643;687
4000;1015;707;723
4100;1014;734;796
4200;1051;757;795
4300;1098;812;802
4400;1091;786;817
4500;1119;807;841
4600;1173;834;873
4700;1327;837;871
4800;1196;869;894
4900;1217;867;917
5000;1255;952;923
5100;1281;894;955
5200;1302;915;960
5300;1338;935;985
5400;1345;975;1045
5500;1492;974;1023
5600;1438;977;1063
5700;1425;995;1082
5800;1517;1007;1130
5900;1496;1136;1097
6000;1536;1093;1132
6100;1524;1076;1136
6200;1548;1173;1155
6300;1614;1094;1167
6400;1655;1183;1191
6500;1686;1319;1210
6600;1708;1160;1251
6700;1717;1180;1313
6800;1775;1174;1372
6900;1741;1273;1327
7000;1797;1211;1314
7100;1798;1244;1328
7200;1809;1235;1344
7300;1850;1248;1368
7400;1859;1267;1378
7500;1885;1285;1514
7600;1954;1298;1444
7700;1987;1324;1505
7800;2067;1490;1537
7900;2127;1480;1617
8000;2161;1501;1581
8100;2173;1559;1717
8200;2299;1678;1813
8300;2297;1738;1777
8400;2484;1753;1818
8500;2463;1746;1727
8600;2331;1681;1795
8700;2420;1701;1795
8800;2447;1858;1928
8900;2608;1876;1894
9000;2601;1845;1934
9100;2484;1785;1873
9200;2576;1791;1855
9300;2551;1860;1885
9400;2551;1833;1962
9500;2578;1855;1979
9600;2819;1940;2002
9700;2723;1880;2065
9800;2745;2022;1979
