n	random	almost_sort	sorted_rev	
500   90  65  64	
600   110  78	80	
700   126  89	93	
800   144  100	109	
900   165  111	124	
1000	195  139	144	
1100	223  161	167	
1200	241  174	179	
1300	263  186	195	
1400	286	 199	211	
1500	304	 212	226	
1600	328	 225	240	
1700	344  236	257	
1800	367  254	278	
1900	389  263	290	
2000	436  309	329	
2100	481  344	355	
2200	493  360	370	
2300	517  371	387	
2400	537  386	445	
2500	561  401	419	
2600	586  419	437	
2700	606  429	454	
2800	632  444	477	
2900	657  457	503	
3000	679  475	505	
3100	700  488	524	
3200	723  506	536	
3300	750  516	556	
3400	770  529	577	
3500	803  543	589	
3600	820  563	610	
3700	845  572	621	
3800	861	 583	648	
3900	912	 631	685	
4000	965	 681	720	
4100	1015	732	765	
4200	1044	757	780	
4300	1071	767	803	
4400	1098	786	815	
4500	1117	805	846	
4600	1144	819	853	
4700	1169	835	866	
4800	1195	848	886	
4900	1226	865	907	
5000	1263	883	923	
5100	1269	896	943	
5200	1293	955	962	
5300	1323	939	986	
5400	1343	944	1001	
5500	1369	959	1014	
5600	1404	981	1036	
5700	1425	997	1054	
5800	1446	1007	1097	
5900	1474	1027	1093	
6000	1498	1053	1111	
6100	1520	1060	1128	
6200	1551	1077	1156	
6300	1583	1102	1185	
6400	1600	1103	1186	
6500	1628	1126	1206	
6600	1661	1140	1235	
6700	1674	1152	1245	
6800	1709	1178	1268	
6900	1728	1226	1295	
7000	1756	1205	1308	
7100	1781	1225	1335	
7200	1809	1244	1347	
7300	1864	1297	1404	
7400	1867	1268	1396	
7500	1895	1286	1425	
7600	1936	1322	1428	
7700	1942	1374	1448	
7800	1998	1380	1488	
7900	2059	1438	1542	
8000	2116	1493	1583	
8100	2158	1555	1623	
8200	2227	1627	1665	
8300	2266	1635	1691	
8400	2291	1645	1715	
8500	2311	1667	1767	
8600	2346	1683	1746	
8700	2358	1701	1764	
8800	2386	1730	1785	
8900	2409	1734	1799	
9000	2436	1807	1843	
9100	2465	1774	1843	
9200	2493	1809	1867	
9300	2521	1848	1881	
9400	2554	1834	1896	
9500	2572	1838	1922	
9600	2607	1861	1942	
9700	2631	1879	1962	
9800	2665	1902	1982	
9900	2693	1915	2004	
10000	2758	1929	2026	
10100	2744	1945	2052	
10200	2757	1962	2053	
10300	2798	1982	2088	
10400	2820	1998	2108	
10500	2885	2025	2126	
10600	2865	2037	2188	
10700	2921	2079	2168	
10800	2975	2088	2196	
10900	2963	2106	2205	
11000	3004	2117	2226	
11100	3008	2127	2245	
11200	3047	2152	2265	
11300	3074	2175	2290	
11400	3097	2197	2316	
11500	3130	2203	2332	
11600	3150	2221	2357	
11700	3186	2228	2370	
11800	3215	2248	2391	
11900	3230	2273	2420	
12000	3301	2283	2434	
12100	3303	2302	2449	
12200	3315	2334	2474	
12300	3346	2342	2505	
12400	3388	2370	2520	
12500	3404	2378	2544	
12600	3428	2430	2552	
12700	3467	2406	2612	
12800	3489	2437	2599	
12900	3513	2460	2633	
13000	3534	2470	2641	
13100	3571	2478	2682	
13200	3598	2502	2697	
13300	3629	2533	2719	
13400	3658	2529	2773	
13500	3701	2565	2743	
13600	3707	2589	2766	
13700	3736	2608	2791	
13800	3761	2605	2803	
13900	3804	2621	2829	
14000	3827	2646	2858	
14100	3845	2659	3010	
14200	3946	2764	2910	
14300	3964	2727	2912	
14400	3978	2741	2973	
14500	3967	2750	2988	
14600	3995	2783	3000	
14700	4499	3179	3263	
