n	random	almost_sort	sorted_rev
500	198	165	165	
600	235	202	208	
700	276	238	238	
800	329	274	280	
900	397	318	323	
1000	443	383	384	
1100	498	401	395	
1200	504	428	428	
1300	543	472	468	
1400	584	498	523	
1500	660	545	579	
1600	689	582	595	
1700	745	532	518	
1800	654	547	558	
1900	686	580	587	
2000	732	636	645	
2100	783	683	733	
2200	902	725	736	
2300	908	718	736	
2400	995	807	819	
2500	994	816	823	
2600	999	848	843	
2700	1037	864	895	
2800	1070	872	889	
2900	1076	911	963	
3000	1120	949	948	
3100	1175	975	991	
3200	1206	1074	1055	
3300	1256	1060	1067	
3400	1303	1104	1111	
3500	1335	1151	1125	
3600	1383	1261	1178	
3700	1420	1192	1205	
3800	1474	1265	1278	
3900	1491	1258	1277	
4000	1533	1501	1308	
4100	1584	1340	1359	
4200	1673	1475	1425	
4300	1697	1410	1435	
4400	1831	1439	1486	
4500	1756	1493	1508	
4600	1821	1524	1528	
4700	1844	1615	1570	
4800	1897	1594	1648	
4900	1957	1618	1640	
5000	1964	1796	1669	
5100	2008	1686	1705	
5200	2095	1700	1725	
5300	2083	1857	1779	
5400	2148	1772	1846	
5500	2174	1814	1866	
5600	2263	1851	1865	
5700	2265	1963	1931	
5800	2306	1948	1984	
5900	2361	1951	1989	
6000	2393	2039	2026	
6100	2496	2027	2063	
6200	2586	2138	2111	
6300	2552	2140	2195	
6400	2599	2162	2169	
6500	2664	2182	2316	
6600	2732	2389	2367	
6700	2750	2264	2297	
6800	2949	2334	2359	
6900	2849	2333	2379	
7000	2970	2374	2410	
7100	2935	2412	2443	
7200	3048	2446	2487	
7300	3007	2481	2497	
7400	3058	2509	2543	
7500	3098	2541	2609	
7600	3177	2602	2613	
7700	3158	2665	2661	
7800	3182	2673	2740	
7900	3243	2735	2844	
8000	3323	2769	2797	
8100	3321	2836	2838	
8200	3372	2879	2845	
8300	3449	2872	2962	
8400	3519	2896	2980	
8500	3513	2922	3023	
8600	3533	3035	3052	
8700	3648	2999	3032	
8800	3680	3023	3104	
8900	3685	3060	3080	
9000	3708	3110	3128	
9100	3751	3142	3178	
9200	3790	3212	3210	
9300	3862	3213	3242	
9400	3910	3397	3315	
9500	4060	3346	3418	
9600	4186	3306	3356	
9700	4069	3420	3429	
9800	4120	3417	3540	
9900	4143	3534	3470	
10000	4286	3503	3545	
10100	4199	3578	3535	
10200	4340	3522	3695	
10300	4275	3567	3592	
10400	4295	3749	3664	
10500	4393	3712	3759	
10600	4417	3702	3782	
10700	4477	3737	3791	
10800	4564	3764	3800	
10900	4563	3792	3848	
11000	4595	3814	3903	
11100	4635	3928	4184	
11200	4904	3914	3942	
11300	4750	3945	3986	
11400	4859	3988	4091	
11500	5114	4075	4212	
11600	4944	4184	4134	
11700	5073	4285	4307	
11800	5191	4107	4546	
11900	5097	4309	4209	
12000	5195	4435	4553	
12100	5133	4338	4313	
12200	5226	4394	4324	
12300	5619	4382	4799	
12400	5413	4565	4474	
12500	5546	4433	4747	
12600	5439	4497	4538	
12700	5457	4470	4606	
12800	5477	4587	4619	
12900	5482	4629	4710	
13000	5512	4631	4638	
13100	5601	4675	4686	
13200	5697	4730	4731	
13300	5805	4723	4787	
13400	5802	4804	4844	
13500	5810	4818	4927	
13600	5881	4812	4929	
13700	5915	4842	4995	
13800	5937	4877	5040	
13900	6103	4925	5088	
14000	6051	4979	5089	
14100	6052	5012	5148	
14200	6132	5037	5144	
14300	6198	5074	5141	
14400	6210	5141	5168	
14500	6441	5296	5215	
14600	6320	5266	5317	
14700	6331	5345	5331	
14800	6353	5374	5427	
14900	6457	5336	5447	
15000	6534	5340	5491	
15100	6569	5413	5489	
15200	6668	5548	5634	
15300	6637	5615	5691	
15400	6699	5513	5716	
15500	6763	5648	5641	
15600	6940	5612	5990	
15700	6908	5673	5798	
15800	6935	5752	5779	
15900	6878	5745	5825	
16000	6937	5736	5858	
16100	7001	5809	5853	
16200	7126	5884	6000	
16300	7142	5879	5980	
16400	7156	5983	5938	
16500	7140	5993	6250	
16600	7343	6042	6058	
16700	7533	6444	6404	
16800	7666	6370	6257	
16900	7702	6590	6470	
17000	7578	6575	6640	
17100	7695	6500	6451	
17200	7470	6545	6827	
17300	7787	6584	6542	
17400	7693	6361	6470	
17500	8109	6715	6704	
17600	8219	6603	6647	
17700	7807	6438	6537	
17800	7758	6452	6485	
17900	7860	6508	6625	
18000	7858	6530	6589	
18100	7924	6599	6626	
18200	7957	6628	6680	
18300	8007	6645	6682	
18400	8045	6681	6777	
18500	8150	6742	6826	
18600	8301	6794	6846	
18700	8164	6828	6873	
18800	8227	6898	6906	
18900	8287	6871	6971	
19000	8298	6915	6994	
19100	8353	6939	7016	
19200	8391	6998	7042	
19300	8476	7033	7080	
19400	8479	7036	7145	
19500	8566	7099	7185	
19600	8595	7152	7220	
19700	8637	7160	7236	
19800	8690	7197	7266	
19900	8758	7220	7308	
20000	8777	7285	7321	
20100	8753	7317	7479	
20200	8847	7334	7432	
20300	8887	7390	7443	
20400	8946	7458	7487	
20500	8995	7456	7490	
20600	9010	7469	7558	
20700	9078	7786	7946	
20800	9428	7786	7929	
20900	9428	7797	8015	
21000	9471	7791	7921	
21100	9644	7860	8033	
21200	9653	7982	8068	
21300	9665	8045	8095	
21400	9710	7992	7965	
21500	9413	7787	7885	
21600	9462	7851	7935	
21700	9570	7912	8016	
21800	9583	7943	8046	
21900	9681	7968	8106	
22000	9705	8057	8126	
22100	9734	8022	8130	
22200	9809	8050	8154	
22300	9792	8104	8181	
22400	9880	8156	8299	
22500	9936	8152	8258	
22600	9931	8191	8515	
22700	10140	8289	8358	
22800	10083	8318	8375	
22900	10140	8353	8452	
23000	10169	8419	8515	
23100	10233	8452	8549	
23200	10203	8438	8530	
23300	10262	8446	8580	
23400	10329	8476	8603	
23500	10401	8576	8679	
23600	10431	8648	8725	
23700	10485	8641	8760	
23800	10522	8673	8803	
23900	10542	8764	8807	
24000	10617	8712	8836	
24100	10649	8802	8930	
24200	10731	8852	8959	
24300	10813	8872	8983	
24400	10796	9091	9083	
24500	10874	8993	9087	
24600	10928	9023	9098	
24700	10949	9119	9206	
24800	11006	9077	9200	
24900	11059	9162	9267	
25000	11121	9179	9305	
25100	11177	9227	9342	
25200	11244	9250	9347	
25300	11309	9329	9474	
25400	11302	9319	9428	
25500	11342	9367	9471	
25600	11424	9448	9554	
25700	11443	9430	9558	
25800	11538	9605	9659	
25900	11587	9572	9671	
26000	11634	9604	9714	
26100	11741	9724	9724	
26200	11681	9694	9788	
26300	11823	9777	9844	
26400	11837	9818	9895	
26500	11890	9825	9957	
26600	11953	9847	9975	
26700	11968	9915	9994	
26800	12039	9995	10036	
26900	12047	9964	10077	
27000	12113	10066	10111	
27100	12093	10010	10158	
27200	12208	10090	10177	
27300	12183	10063	10209	
27400	12290	10177	10232	
27500	12331	10210	10330	
27600	12394	10397	10452	
27700	12547	10364	10414	
27800	12449	10272	10366	
27900	12537	10308	10434	
28000	12529	10333	10480	
28100	12617	10424	10567	
28200	12683	10468	11275	
28300	13574	12020	12126	
28400	13652	10702	10724	
28500	12770	10536	10745	
28600	12845	10620	10728	
28700	12834	10654	10813	
28800	12953	10714	10845	
28900	13029	10796	10902	
29000	13104	10785	11064	
29100	13168	10897	11020	
29200	13136	10925	11071	
29300	13255	10964	11096	
29400	13265	10945	11073	
29500	13258	10979	11146	
29600	13348	11069	11178	
29700	13481	11107	11283	
29800	13427	11097	11236	
29900	13498	11171	11279	
30000	13579	11214	11395	
30100	13577	11240	11389	
30200	13596	11208	11351	
30300	13614	11314	11498	
30400	13731	11324	11698	
30500	13907	11479	11570	
30600	13818	11418	11533	
30700	13915	11514	11584	
30800	13854	11463	11594	
30900	13938	11488	11705	
31000	13992	11555	11728	
31100	14014	11581	11706	
31200	14085	11711	11869	
31300	14134	11711	11831	
31400	14222	11715	11849	
31500	14203	11768	11927	
31600	14289	11773	11897	
31700	14295	11858	12135	
31800	14441	11907	12071	
31900	14449	11949	12107	
32000	14461	11954	12123	
32100	14556	12030	12166	
32200	14587	12069	12179	
32300	14640	12105	12245	
32400	14702	12155	12267	
32500	14703	12237	12341	
32600	14766	12209	12387	
32700	14826	12279	12368	
32800	14885	12356	12436	
32900	14978	12389	12501	
33000	14984	12545	12676	
33100	15173	12522	12608	
33200	15099	12534	12705	
33300	15139	12555	12671	
33400	15183	12589	12711	
33500	15222	12670	12732	
33600	15322	12643	12809	
33700	15345	12687	12862	
33800	15392	12787	12924	
33900	15427	12778	12916	
34000	15518	12857	12945	
34100	15529	12908	13021	
34200	15592	13124	13098	
34300	15680	12940	13072	
34400	15728	13019	13170	
34500	15725	13043	13178	
34600	15775	13127	13193	
34700	15838	13151	13338	
34800	15941	13225	13289	
34900	15946	13211	13330	
35000	15946	13254	13657	
35100	15992	13293	13403	
35200	16107	13332	13429	
35300	16125	13375	13476	
35400	16336	13545	13635	
35500	16294	13431	13535	
35600	16302	13468	13623	
35700	16281	13543	13659	
35800	16393	13608	13722	
35900	16410	13651	13767	
36000	16460	13672	13784	
36100	16567	13724	13782	
36200	16546	13804	13831	
36300	16588	13764	13908	
36400	16633	13815	13907	
36500	16680	14081	14104	
36600	16762	13922	14124	
36700	16777	13965	14081	
36800	16899	14012	14114	
36900	16892	14047	14202	
37000	17014	14188	14253	
